Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
2349,19921111,20210307,1138,486.136,82.033,Hornisgrinde,Baden-Württemberg,Ortenaukreis
2377,20101201,20210307,362,477.001,75.895,Kandern-Gupf,Baden-Württemberg,Landkreis Lörrach
2429,20030705,20210307,21,539.897,95.696,Itzehoe,Schleswig-Holstein,Steinburg
2483,19950804,20210307,839,511.803,84.891,Kahler Asten,Nordrhein-Westfalen,Hochsauerlandkreis
2485,20110501,20210307,489,489.17,96.871,Kaisersbach-Cronhütte,Baden-Württemberg,Rems-Murr-Kreis
2497,19980422,20210308,505,505.014,65.264,Kall-Sistig,Nordrhein-Westfalen,Kreis Euskirchen
2503,19911102,20030505,487,506.266,101.455,Kaltennordheim,Thüringen,Landkreis Schmalkalden-Meiningen
2522,19960725,20081031,112,490.382,83.641,Karlsruhe,Baden-Württemberg,Karlsruhe
2532,19990902,20131031,231,512.963,94.424,Kassel,Hessen,Niestetal
2559,19920430,20210307,705,477.233,103.348,Kempten,Bayern,Kempten (Allgäu)
2564,20130501,20210307,28,543.776,101.424,Kiel-Holtenau,Schleswig-Holstein,Rendsburg-Eckernförde
2573,19910117,20210307,470,479.588,127.717,Waging am See-Schnöbling,Bayern,Landkreis Traunstein
2597,19950602,20210307,282,502.24,100.792,"Kissingen, Bad",Bayern,Landkreis Bad Kissingen
2601,19921002,20210307,826,502.218,84.469,Kleiner Feldberg/Taunus,Hessen,Hochtaunuskreis
2638,19921106,20210307,974,481.054,87.548,Klippeneck,Baden-Württemberg,Landkreis Tuttlingen
2667,19931112,20210307,92,508.646,71.575,Köln-Bonn,Nordrhein-Westfalen,Rhein-Sieg-Kreis
2712,19930813,20210307,428,476.952,91.307,Konstanz,Baden-Württemberg,Landkreis Konstanz
2794,19911102,20210307,40,529.363,124.093,Kyritz,Brandenburg,Ostprignitz-Ruppin
2812,19960829,20210307,156,483.647,78.28,Lahr,Baden-Württemberg,Ortenaukreis
2856,19990501,20210308,91,519.173,130.878,Langenlipsdorf,Brandenburg,Teltow-Fläming
2878,20170801,20210308,117,513.909,118.786,"Lauchstädt, Bad",Sachsen-Anhalt,Saalekreis
2897,19910103,20210307,522,505.808,92.857,Lautertal-Hörgenau,Hessen,Vogelsbergkreis
2907,19990202,20210307,7,547.903,89.514,Leck,Schleswig-Holstein,Nordfriesland
2925,19911104,20210307,356,513.933,103.123,Leinefelde,Thüringen,Landkreis Eichsfeld
2928,19970206,20210307,138,513.151,124.462,Leipzig-Holzhausen,Sachsen,Leipzig
2932,19911101,20210307,131,514.348,122.396,Leipzig/Halle,Sachsen,Nordsachsen
2961,20180809,20210307,31,544.996,102.737,Leuchtturm Kiel,Schleswig-Holstein,Lotsenstation
2985,19911102,20210307,321,509.383,142.093,Lichtenhain-Mittelndorf,Sachsen,Sächsische Schweiz-Osterzgebirge
3015,19921107,20210307,98,522.085,141.18,Lindenberg,Brandenburg,Oder-Spree
3023,19910102,20161231,22,525.181,73.081,Lingen,Niedersachsen,Landkreis Emsland
3028,19920806,20210307,157,517.854,88.388,"Lippspringe, Bad",Nordrhein-Westfalen,Kreis Paderborn
3032,19951202,20210307,25,550.11,84.125,List auf Sylt,Schleswig-Holstein,Nordfriesland
3086,19960702,20210307,15,538.025,106.989,Lübeck-Blankensee,Schleswig-Holstein,Lübeck
3093,19930923,20210307,16,529.724,111.374,Lüchow,Niedersachsen,Lüchow-Dannenberg
3098,19940101,20210307,387,512.452,76.425,Lüdenscheid,Nordrhein-Westfalen,Märkischer Kreis
3126,19911102,20210307,79,521.029,115.827,Magdeburg,Sachsen-Anhalt,Magdeburg
3158,19911101,20210307,12,525.468,145.452,Manschnow,Brandenburg,Märkisch-Oderland
3166,19911103,20210307,639,506.51,131.469,Marienberg,Sachsen,Erzgebirgskreis
3167,19990602,20210307,547,506.621,79.603,"Marienberg, Bad",Rheinland-Pfalz,Westerwaldkreis
3196,19920617,20210307,81,533.223,119.319,Marnitz,Mecklenburg-Vorpommern,Ludwigslust-Parchim
3231,19911102,20210307,450,505.612,103.771,Meiningen,Thüringen,Landkreis Schmalkalden-Meiningen
3244,20110513,20210308,615,479.82,101.384,Memmingen,Bayern,Landkreis Unterallgäu
3268,20131001,20210307,900,481.694,89.433,Meßstetten-Appental,Baden-Württemberg,Zollernalbkreis
3287,19910102,20210307,453,497.177,90.997,Michelstadt-Vielbrunn,Hessen,Odenwaldkreis
3321,20080425,20210308,77,511.313,63.609,Mönchengladbach-Hilderath,Nordrhein-Westfalen,Mönchengladbach
3362,20060701,20210307,243,489.721,88.735,Mühlacker,Baden-Württemberg,Enzkreis
3366,19890307,20210307,406,482.79,125.024,Mühldorf,Bayern,Landkreis Mühldorf am Inn
3376,19990421,20210307,63,525.176,141.232,Müncheberg,Brandenburg,Märkisch-Oderland
3379,19970712,20210307,515,481.632,115.429,München-Stadt,Bayern,München
3402,20080131,20210308,750,483.851,94.837,Münsingen-Apfelstetten,Baden-Württemberg,Landkreis Reutlingen
3478,19911102,20050731,81,535.468,131.914,Neubrandenburg,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
3513,19911103,20210307,845,505.002,111.344,Neuhaus am Rennweg,Thüringen,Landkreis Sonneberg
3534,19930607,20210307,584,492.713,114.881,Neumarkt-Höhenberg,Bayern,Landkreis Neumarkt in der Oberpfalz
3552,19911110,20190408,38,529.037,128.072,Neuruppin,Brandenburg,Ostprignitz-Ruppin
3631,19930915,20210307,12,537.123,71.519,Norderney,Niedersachsen,Landkreis Aurich
3651,19920403,20210307,109,517.521,99.45,Northeim-Stöckheim,Niedersachsen,Landkreis Northeim
3657,20051101,20150831,341,509.081,75.543,Nümbrecht auf dem Lindchen,Nordrhein-Westfalen,Oberbergischer Kreis
3660,19950501,20210307,485,503.602,68.697,Nürburg-Barweiler,Rheinland-Pfalz,Landkreis Ahrweiler
3668,19950808,20210307,314,495.03,110.549,Nürnberg,Bayern,Nürnberg
3730,19940731,20210307,806,473.984,102.759,Oberstdorf,Bayern,Landkreis Oberallgäu
3761,19920702,20210307,276,492.07,95.176,Öhringen,Baden-Württemberg,Hohenlohekreis
3791,19981002,20121001,11,531.763,81.824,Oldenburg,Niedersachsen,Oldenburg
3811,19911107,20210307,150,512.96,130.928,Oschatz,Sachsen,Nordsachsen
3815,19930102,20101130,95,522.553,80.534,Osnabrück,Niedersachsen,Osnabrück
3821,19911102,20210307,246,510.873,119.292,Osterfeld,Sachsen-Anhalt,Burgenlandkreis
3897,20060818,20210307,2,540.893,108.773,Pelzerhaken,Schleswig-Holstein,Ostholstein
3905,19910102,20210307,407,495.214,64.476,Perl-Sinz-Renglischberg,Saarland,Landkreis Merzig-Wadern
3925,19910101,20210308,332,489.329,86.973,Pforzheim-Ispringen,Baden-Württemberg,Enzkreis
3946,19911102,20210301,386,504.819,121.3,Plauen,Sachsen,Vogtlandkreis
3987,19920817,20210307,81,523.813,130.622,Potsdam,Brandenburg,Potsdam
4024,19911102,20210307,40,543.643,134.771,Putbus,Mecklenburg-Vorpommern,Vorpommern-Rügen
4032,20080521,20210308,142,517.953,111.32,Quedlinburg,Sachsen-Anhalt,Landkreis Harz
4036,20091015,20210308,204,513.895,115.412,Querfurt-Mühle Lodersleben,Sachsen-Anhalt,Saalekreis
4039,20030513,20210307,11,537.331,98.776,Quickborn,Schleswig-Holstein,Pinneberg
4094,19971210,20210308,440,478.062,96.206,"Weingarten, Kr. Ravensburg",Baden-Württemberg,Landkreis Ravensburg
4104,19940316,20210307,365,490.425,121.019,Regensburg,Bayern,Regensburg
4177,20081101,20210307,116,489.726,83.301,Rheinstetten,Baden-Württemberg,Landkreis Karlsruhe
4225,19931101,20190412,373,492.195,125.36,Roding-Wetterfeld,Bayern,Landkreis Cham
4271,19911114,20210307,4,541.803,120.808,Rostock-Warnemünde,Mecklenburg-Vorpommern,Rostock
4279,19910102,20210307,593,503.046,63.862,Roth bei Prüm,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
4280,20131211,20210307,386,492.162,111.035,Roth,Bayern,Landkreis Roth
4336,19960621,20210307,320,492.128,71.077,Saarbrücken-Ensheim,Saarland,Regionalverband Saarbrücken
4347,20001016,20030708,292,515.909,105.691,"Sachsa, Bad",Niedersachsen,Landkreis Göttingen
4371,19920604,20210307,135,521.042,87.521,"Salzuflen, Bad",Nordrhein-Westfalen,Kreis Lippe
4393,19991203,20210307,5,543.279,86.031,Sankt Peter-Ording,Schleswig-Holstein,Nordfriesland
4464,19911102,20210307,501,505.679,118.041,Schleiz,Thüringen,Saale-Orla-Kreis
4466,19910418,20210307,43,545.275,95.487,Schleswig,Schleswig-Holstein,Schleswig-Flensburg
4501,19921006,20210307,937,506.546,107.693,Schmücke,Thüringen,Suhl
4625,19911102,20210307,59,536.425,113.872,Schwerin,Mecklenburg-Vorpommern,Schwerin
4642,19911102,20210307,21,528.911,117.297,Seehausen,Sachsen-Anhalt,Stendal
4663,19940112,20110412,535,501.633,121.188,Selb/Oberfranken (Klärwerk),Bayern,Landkreis Wunsiedel im Fichtelgebirge
4745,19921028,20210307,75,529.604,97.93,Soltau,Niedersachsen,Heidekreis
4752,19911102,20080630,626,503.746,111.828,Sonneberg-Neufang,Thüringen,Landkreis Sonneberg
4880,19930909,20210307,450,490.878,101.24,Stimpfach-Weipertshofen,Baden-Württemberg,Landkreis Schwäbisch Hall
4887,19941203,20210307,734,486.656,98.648,Stötten,Baden-Württemberg,Landkreis Göppingen
4911,19961025,20210307,351,488.275,125.597,Straubing,Bayern,Landkreis Straubing-Bogen
4919,19930513,20210307,7,544.965,88.069,Strucklahnungshörn,Schleswig-Holstein,Nordfriesland
4928,19960425,20210307,314,488.281,92.0,Stuttgart (Schnarrenberg),Baden-Württemberg,Stuttgart
4931,19950930,20210307,371,486.883,92.235,Stuttgart-Echterdingen,Baden-Württemberg,Landkreis Esslingen
4947,19910802,20210307,129,522.317,109.2,Süpplingen,Niedersachsen,Landkreis Helmstedt
5009,19911101,20040630,38,537.61,125.574,Teterow,Mecklenburg-Vorpommern,Landkreis Rostock
5029,19931111,20210307,386,494.737,70.385,Tholey,Saarland,Landkreis St. Wendel
5078,20070816,20210307,2,539.619,108.892,Travemünde,Schleswig-Holstein,Lübeck
5100,20001019,20210307,265,497.479,66.583,Trier-Petrisberg,Rheinland-Pfalz,Trier
5109,20131001,20210307,69,535.997,133.039,Trollenhagen,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
5142,19920817,20210307,1,537.444,140.697,Ueckermünde,Mecklenburg-Vorpommern,Vorpommern-Greifswald
5155,19911207,20140901,567,483.837,99.524,Ulm,Baden-Württemberg,Ulm
5158,19911106,20210307,162,521.601,111.759,Ummendorf,Sachsen-Anhalt,Börde
5319,20090917,20210307,576,479.167,97.076,"Waldsee, Bad-Reute",Baden-Württemberg,Landkreis Ravensburg
5327,20091210,20210307,404,495.789,93.975,Walldürn,Baden-Württemberg,Neckar-Odenwald-Kreis
5347,20060928,20210307,236,515.039,91.118,Warburg,Nordrhein-Westfalen,Kreis Höxter
5349,19940324,20210307,73,535.196,126.654,Waren (Müritz),Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
5371,19950501,20210307,921,504.973,99.427,Wasserkuppe,Hessen,Landkreis Fulda
5397,19910705,20210307,440,496.662,121.844,Weiden,Bayern,Weiden in der Oberpfalz
5404,19970102,20210307,477,484.024,116.946,Weihenstephan-Dürnast,Bayern,Landkreis Freising
5412,19910601,20210307,771,476.802,81.964,Weilheim-Bierbronnen,Baden-Württemberg,Landkreis Waldshut
5419,19950711,20070531,264,509.751,113.076,Weimar,Thüringen,Weimar
5426,19931028,20210307,553,493.758,81.212,Weinbiet,Rheinland-Pfalz,Neustadt an der Weinstraße
5440,19930415,20210307,439,490.115,109.308,Weißenburg-Emetzheim,Bayern,Landkreis Weißenburg-Gunzenhausen
5467,19910102,20120921,1832,477.035,120.119,Wendelstein,Bayern,Landkreis Rosenheim
5480,20030910,20210307,85,515.763,78.879,Werl,Nordrhein-Westfalen,Kreis Soest
5490,19911101,20210307,233,518.454,107.686,Wernigerode,Sachsen-Anhalt,Landkreis Harz
5516,19960601,20210307,3,545.283,110.606,Fehmarn,Schleswig-Holstein,Ostholstein
5538,20180126,20210308,551,478.827,111.576,Wielenbach (Demollstr.),Bayern,Landkreis Weilheim-Schongau
5546,19911014,20210307,187,521.207,124.585,Wiesenburg,Brandenburg,Potsdam-Mittelmark
5629,19920417,20210307,105,518.892,126.445,Wittenberg,Sachsen-Anhalt,Wittenberg
5663,19920123,19951231,118,534.618,136.099,Woldegk,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
5705,19921027,20210307,268,497.704,99.576,Würzburg,Bayern,Würzburg
5779,19911102,20210307,877,507.314,137.516,Zinnwald-Georgenfeld,Sachsen,Sächsische Schweiz-Osterzgebirge
5792,19940731,20210307,2965,474.21,109.848,Zugspitze,Bayern,Landkreis Garmisch-Partenkirchen
5797,20140922,20210308,349,506.879,124.329,Lichtentanne,Sachsen,Zwickau
5800,20060712,20210307,615,490.28,132.385,Zwiesel,Bayern,Landkreis Regen
5825,20120704,20210307,40,526.198,127.867,Berge,Brandenburg,Havelland
5839,19970710,20210307,0,533.881,72.287,Emden,Niedersachsen,Emden
5851,19970312,20210307,392,510.806,88.769,Frankenberg-Geismar,Hessen,Landkreis Waldeck-Frankenberg
5856,19970103,20210307,476,485.451,133.532,Fürstenzell,Bayern,Landkreis Passau
5871,19981223,20210307,497,499.463,72.645,Hahn,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
5877,19970311,20210307,5,543.16,108.002,Putlos,Schleswig-Holstein,Ostholstein
5906,19930715,20210307,98,495.062,85.585,Mannheim,Baden-Württemberg,Mannheim
5930,19941103,20210307,1,546.41,100.238,Schönhagen (Ostseebad),Schleswig-Holstein,Rendsburg-Eckernförde
6091,19971009,20210307,14,537.674,76.721,Spiekeroog (SWN),Niedersachsen,Landkreis Wittmund
6096,19980717,20210307,416,491.423,107.301,Altmühlsee,Bayern,Landkreis Weißenburg-Gunzenhausen
6097,19981105,20210308,4,544.738,125.014,Darßer Ort (SWN),Mecklenburg-Vorpommern,Vorpommern-Rügen
6098,20000504,20100430,398,478.147,90.237,Stockach-Espasingen,Baden-Württemberg,Landkreis Konstanz
6099,20000421,20210308,450,477.02,87.318,Gailingen,Baden-Württemberg,Landkreis Konstanz
6101,19991217,20210307,51,541.323,116.719,Bastorf-Kägsdorf (SWN),Mecklenburg-Vorpommern,Landkreis Rostock
6102,19990401,20210307,397,475.396,96.843,Lindau (SWN),Bayern,Landkreis Lindau
6103,20010601,20210308,923,474.287,112.617,Mittenwald/Obb.,Bayern,Landkreis Garmisch-Partenkirchen
6106,20020701,20210308,62,533.311,127.149,Rechlin,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
6107,19990415,20210307,703,478.076,91.035,Sipplingen (SWN),Baden-Württemberg,Bodenseekreis
6108,20010628,20210308,7,537.197,94.192,Ruthenstrom,Niedersachsen,Stade
