Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
1270,19911105,20210307,316,50.9829,10.9608,Erfurt-Weimar,Thüringen,Erfurt
1279,20060504,20210307,268,49.6497,11.0074,Möhrendorf-Kleinseebach,Bayern,Landkreis Erlangen-Höchstadt
1297,20040407,20210308,156,51.2041,10.0138,Eschwege,Hessen,Werra-Meißner-Kreis
1300,20040601,20210308,351,51.254,8.1565,Eslohe,Nordrhein-Westfalen,Hochsauerlandkreis
1303,19940504,20210307,150,51.4041,6.9677,Essen-Bredeney,Nordrhein-Westfalen,Essen
1327,20040801,20210308,147,50.7119,6.7905,Weilerswist-Lommersum,Nordrhein-Westfalen,Kreis Euskirchen
1332,20041209,20210308,471,48.4832,12.7241,"Falkenberg,Kr.Rottal-Inn",Bayern,Landkreis Rottal-Inn
1346,19951027,20210307,1490,47.8749,8.0038,Feldberg/Schwarzwald,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald
1357,20041202,20210307,655,49.9807,11.8376,Fichtelberg/Oberfranken-Hüttstadl,Bayern,Landkreis Bayreuth
1358,19911112,20210307,1213,50.4283,12.9536,Fichtelberg,Sachsen,Erzgebirgskreis
1411,20070101,20210308,745,50.5309,10.048,Birx/Rhön,Thüringen,Landkreis Schmalkalden-Meiningen
1420,19930305,20210307,100,50.0259,8.5213,Frankfurt/Main,Hessen,Kreis Groß-Gerau
1424,20080624,20210308,124,50.1269,8.6694,Frankfurt/Main-Westend,Hessen,Frankfurt am Main
1443,19940427,20210307,237,48.0232,7.8343,Freiburg,Baden-Württemberg,Freiburg im Breisgau
1451,20030516,20210308,2,53.8277,9.2493,Freiburg/Elbe,Niedersachsen,Stade
1468,19910102,20210307,797,48.4538,8.409,Freudenstadt,Baden-Württemberg,Landkreis Freudenstadt
1473,20060101,20190228,414,49.1869,11.308,Freystadt-Michelbach,Bayern,Landkreis Neumarkt in der Oberpfalz
1503,20121001,20210307,6,53.0643,7.9022,Friesoythe-Altenoythe,Niedersachsen,Landkreis Cloppenburg
1526,20040914,20210307,242,50.5668,9.6533,Fulda-Horas,Hessen,Landkreis Fulda
1544,19911102,20210307,47,52.5129,11.3942,Gardelegen,Sachsen-Anhalt,Altmarkkreis Salzwedel
1550,19910102,20210307,719,47.483,11.0621,Garmisch-Partenkirchen,Bayern,Landkreis Garmisch-Partenkirchen
1580,19970101,20210307,110,49.9859,7.9548,Geisenheim,Hessen,Rheingau-Taunus-Kreis
1584,20090601,20210308,672,47.9242,8.6473,Geisingen,Baden-Württemberg,Landkreis Tuttlingen
1587,20031210,20210307,536,48.9481,11.4289,Gelbelsee,Bayern,Landkreis Eichstätt
1590,20021023,20210308,37,51.4942,6.2463,Geldern-Walbeck,Nordrhein-Westfalen,Kreis Kleve
1602,20040701,20210308,177,48.433,7.993,Ohlsbach,Baden-Württemberg,Ortenaukreis
1605,19911106,20210307,35,52.3875,12.1602,Genthin,Sachsen-Anhalt,Jerichower Land
1612,19911107,20210307,311,50.8813,12.1289,Gera-Leumnitz,Thüringen,Gera
1639,19961011,20210307,203,50.6017,8.6439,Gießen/Wettenberg,Hessen,Landkreis Gießen
1645,20020820,20210308,340,50.9656,9.05,Gilserberg-Moischeid,Hessen,Schwalm-Eder-Kreis
1684,19911102,20210307,238,51.1622,14.9506,Görlitz,Sachsen,Görlitz
1691,19931110,20210307,167,51.5002,9.9507,Göttingen,Niedersachsen,Landkreis Göttingen
1694,19911107,20210307,58,53.6058,12.1034,Goldberg,Mecklenburg-Vorpommern,Ludwigslust-Parchim
1721,20060822,20210308,506,49.664,11.2239,Gräfenberg-Kasberg,Bayern,Landkreis Forchheim
1735,20041213,20210307,628,48.7894,13.629,Grainet-Rehberg,Bayern,Landkreis Freyung-Grafenau
1736,20011102,20210308,27,53.5731,10.6797,Grambek,Schleswig-Holstein,Herzogtum Lauenburg
1757,19911102,20210307,2,54.0967,13.4056,Greifswald,Mecklenburg-Vorpommern,Vorpommern-Greifswald
1759,20001026,20210307,12,54.2437,13.9102,Greifswalder Oie,Mecklenburg-Vorpommern,Vorpommern-Greifswald
1766,19950705,20210307,48,52.1344,7.6969,Münster/Osnabrück,Nordrhein-Westfalen,Kreis Steinfurt
1792,20200814,20210307,27,52.7553,7.4815,Groß Berßen,Niedersachsen,Landkreis Emsland
1803,20040831,20210308,34,54.0714,12.3238,Groß Lüsewitz,Mecklenburg-Vorpommern,Landkreis Rostock
1832,19980226,20210307,1436,49.1129,13.1338,Großer Arber,Bayern,Landkreis Regen
1863,20071201,20210308,258,50.2667,9.1854,Gründau-Breitenborn,Hessen,Main-Kinzig-Kreis
1869,19911102,20210307,56,53.3153,13.9338,Grünow,Brandenburg,Uckermark
1886,20160901,20210307,444,48.4878,10.2608,Günzburg,Bayern,Landkreis Günzburg
1957,19911101,20150323,93,51.5138,11.9499,Halle-Kröllwitz,Sachsen-Anhalt,Halle (Saale)
1964,20050501,20210308,328,49.9445,6.3821,Olsdorf,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
1975,19950829,20210307,14,53.6332,9.9881,Hamburg-Fuhlsbüttel,Hamburg,Hamburg
1981,20050215,20210308,3,53.4777,9.8957,Hamburg-Neuwiedenthal,Hamburg,Hamburg
2014,19920430,20210308,59,52.4644,9.6779,Hannover,Niedersachsen,Region Hannover
2023,20021114,20210307,501,48.7918,10.7062,Harburg,Bayern,Landkreis Donau-Ries
2039,20061031,20210308,201,51.9002,10.5699,"Harzburg, Bad",Niedersachsen,Landkreis Goslar
2044,19910115,20210307,404,51.652,11.1367,Harzgerode,Sachsen-Anhalt,Landkreis Harz
2074,20030630,20210307,518,48.3752,8.98,Hechingen,Baden-Württemberg,Zollernalbkreis
2080,20040309,20120912,110,49.4206,8.6676,Heidelberg,Baden-Württemberg,Heidelberg
2088,20030424,20050430,498,48.6765,10.1307,Heidenheim/Brenz,Baden-Württemberg,Landkreis Heidenheim
2110,20021024,20210308,57,51.0411,6.1042,Heinsberg-Schleiden,Nordrhein-Westfalen,Kreis Heinsberg
2115,19961220,20210307,4,54.175,7.892,Helgoland,Schleswig-Holstein,Pinneberg
2167,20041201,20120331,302,49.7672,7.3356,Niederwörresbach,Rheinland-Pfalz,Landkreis Birkenfeld
